index	term	definition
849	percussion	n 敲打，打击；（乐队的）打击乐器组
850	string	n. 弦;弦乐
851	wind	风；管乐
852	implicit	a.含蓄的，不言而喻的
853	concise	简明的，简洁的
854	succinct	简明的，简洁的
855	cogent	有说服力的
856	persuasive	a.易使人信服的，有说服力的
857	character	n.性格,品质,特性;人物,角色;字符,(汉)字
858	glossary	n.词汇表；难词表(术语或专业词语汇编)
859	linguistic	adj. 语言的；语言学的
860	tense	时态；紧张
861	genre	n （文艺作品的）类型，（诗、剧、小说、散文的）体裁
862	slogan	n.标语，口号
863	verse	n. 诗，韵文
864	byword	n. （某一特征的）代名词，代表人物，典型事物; 谚语，俗语；口头禅
865	fable	寓言故事：story teach a basic truth；神话，传说：story of supernatural happenings；谎言，虚构：statement in order to deceive
866	maxim	n. 格言，普遍真理
867	satire	讽刺诗，讽刺文学：literary ridicule
868	farce	（带有嘲讽元素的）滑稽戏：broadly satirical comedy；闹剧：ridiculous
869	adage	格言，谚语
870	synopsis	摘要，概要：outline, abstract, summary
871	compile	vt.编辑，编制，搜集
872	entitle	起标题
873	emend	修订
874	paraphrase	转述，意译，改写；in different words
875	excerpt	n.摘录，选录，节录
876	abridge	v.删减；缩短
877	coin	vt. 铸造（货币）；杜撰，创造n. 硬币，钱币
878	factious	党派的
879	partisan	跟随者，信徒：follows；（狂热。坚定的）拥护者，支持者：excessively devoted；偏袒的：one side
880	board	n. 木板；管理委员会；食物v. 乘船；用板铺；供膳食
881	senate	n.参议院,上院
882	congress	n.大会；国会，议会
883	diplomatic	a.外交的；圆滑的
884	diplomacy	外交；策略
885	confederate	n. 同盟者，盟友
886	league	n. 同盟，联盟；联合会
887	affiliate	v.加入；联合
888	unconventional	adj. 非传统的，与先前不同的
889	dictatorial	adj. 独裁的，专政的；专横傲慢的
890	potent	adj. 有效的；强有力的，有权势的；有说服力的
891	authoritative	a.权威的，官方的；专断的
892	centralized	集中的，中央集权的
893	privilege	n.特权，特别利益
894	petition	n.请愿 vt.向...请愿
895	domain	n.领土；领域
896	territory	n.领土, 版图, 地域
897	nationality	n.国籍,国家,部落,民族,民族性
898	realm	n.王国；领域，范围
899	sovereignty	n. 主权，统治权
900	autonomy	n. 自治，自治权
901	committee	n.委员会,全体委员
902	election	n. 选举
903	ballot	选票
904	ideology	n.思想体系，思想意识，意识形态
905	confer	v.讨论，商谈；赠予
906	govern	vt. 统治，管理；控制
907	oust	v.驱逐；把...赶走
908	banish	驱逐出境：leave, country; 赶出：force out
909	deport	v.(将外国人、罪犯等)驱逐出境
910	reign	n.统治时期；王朝；领域
911	dominate	vt. 控制；支配；占优势；在...中占主要地位vi. 占优势；处于支配地位
912	abdicate	v.退位，辞职，放弃
913	administer	vt. 管理；执行；给予vi. 给予帮助；执行遗产管理人的职责；担当管理人
914	administration	n.经营，管理；行政，行政机关，管理部门
915	institute	创立，制定：establish；机构：organization
916	amendment	n.改正，修正；[法]修正案
917	monarchy	n.君主政体；君主国
918	republican	a.共和政体的；共和国的n.共和党人
919	anarchism	无政府主义
920	doctrine	n.教义，主义；学说
921	municipal	a 市政的，地方性的，市营的
922	scandal	n.丑闻；恶意的诽谤，流言蜚语
923	laurel	n. 月桂树
924	prairie	n. 大草原；牧场
925	sequoia	美洲杉
926	fern	n.羊齿植物，蕨
927	orchid	n （温室栽培种）兰，兰花
928	rosette	花环，玫瑰型花饰
929	germinate	v.发芽；发展
930	sprout	v.长出，萌芽；n.嫩芽
931	timber	n. 木材，木料
932	bark	树皮
933	twig	小树枝
934	bough	大或者粗的树枝
935	stem	n.(植物的)茎，叶柄；v.阻止，遏制(水流等)
936	stalk	n 茎，柄，秆，轴
937	trunk	n 树干；躯干
938	leafstalk	叶柄
939	leaflet	n.小叶, 传单
940	foliage	n.叶子(总称)
941	petal	n.花瓣
942	husk	（果类或谷物的）外壳：outer covering；剥去：remove
943	pollen	花粉；传授花粉给...
944	flora	n. 植物区系；植物群
945	crossbreed	n.杂交动物
946	necrosis	坏疽，骨疽
947	Photosynthesis	n 光合作用；光能合成
948	pollinate	v.给...授粉
949	starch	淀粉，淀粉类食物
950	luxuriant	茂盛的
951	scenic	风景优美的
952	spectacle	n.场面；景象，奇观
953	meadow	草地，牧场
954	summit	n 顶，绝顶；顶点
955	lawn	n.草地，草坪
956	gorge	峡谷：canyon；狼吞虎咽：eat greedily
957	puddle	n （路上的）水坑，污水坑
958	creek	小溪，小河：smaller
959	canyon	峡谷
960	trickle	v.成小股流动；n.细流
961	limpid	透明清澈的：transparent clearness；镇定的，淡定的：free from agitation
962	invocation	n. 祈祷
963	pious	虔诚的
964	devout	虔诚的
965	consecrate	vt.供神用,奉献,使神圣a.神圣的
966	creed	n.教义；信条
967	doomed	adj.命定的，注定失败的
968	fatalism	宿命论
969	dogma	n.教条，信条
970	rite	惯例，仪式：prescribed form
971	religion	n.宗教，信仰
972	deity	n 神；神性；神的身份
973	oracle	神谕
974	atheism	n. 无神论
975	heresy	n.异端邪说
976	immerse	vt. 沉浸；使陷入
977	invoke	vt.祈求,恳求,引起,援引,实行
978	enchant	v.使迷醉；施魔法于
979	preach	v 讲道，布道，宣扬，鼓吹
980	exodus	n.大批离去，成群外出
981	despicable	a.可鄙的，卑劣的
982	contemptible	可鄙的
983	ignominious	a.可耻的；耻辱的
984	menial	adj. 奴仆的，卑贱的
985	scornful	轻蔑的
986	filthy	adj. 污秽的，卑鄙的
987	shameless	a.无耻的，不要脸的
988	disrespectful	adj. 无礼的，轻视的
989	discrimination	n. 歧视
990	contemn	侮辱；鄙视
991	belittle	v.轻视，贬抑
992	distain	贬损，伤害（某人的）名誉：lose honor, respect, reputation；弄脏：dirty
993	despise	v.鄙视，藐视
994	inert	（人）懒惰缺乏活力的；（物品）惰性的：sluggish, deficient
995	blunt	使变钝：less sharp; 减弱（力度等）：weaken in strength or feeling; 直率的：direct, brief粗鲁的
996	torpid	a.懒散的；迟缓的，迟钝的
997	idiotic	a. 白痴的,愚蠢的,呆头呆脑的
998	fatuous	愚笨的，昏庸的：foolish
999	hoax	n./v.骗局，欺骗
1000	curt	a.(言词、行为)简略而草率的
1001	impudent	rush reckless鲁莽的
1002	imprudent	轻率的
1003	intelligent	a.聪明的,明智的,理智的
1004	versatile	a.多才多艺的；多用途的
1005	astute	a.机敏的，精明的
1006	shrewd	精明的，机敏的：cleverness or judgment；刺骨的，强烈的：discomfort
1007	sensible	理智的
1008	sane	a.神志清楚的；明智的，理智的
1009	exquisite	a.精致的；近乎完美的
1010	expeditious	敏捷的，迅速的
1011	nimble	adj. 敏捷的；聪明的；敏感的
1012	tact	老练
1013	sharpen	使敏锐
1014	adroit	机巧的
1015	acumen	n.敏锐,聪明
1016	gauche	笨拙的，缺乏社交经验的：lacking grace
1017	rugged	a.粗糙的；坚固的；崎岖的；高低不平的
1018	coarse	粗糙的粗野的
1019	grumpy	adj. 坏脾气的，性情暴躁的
1020	brutal	adj. 残忍的；野蛮的，不讲理的
1021	spineless	a.(人)没骨气的，懦弱的；(动物)无脊椎的
1022	genial	和蔼的
1023	benign	好心的，仁慈的：kindness, gentleness; 无害的：not causing
1024	facile	a.容易做的；肤浅的； 随和的
1025	humane	a.人道的，慈悲的
1026	ductile	可塑的，有延展性的：malleable；易受影响的：easily led;柔软的，驯良的
1027	frank	adj. 坦白的，直率的
1028	outspoken	adj. 坦率直言的
1029	moderate	a 中等的；适度的；有节制的
1030	meek	a.温顺的，顺服的
1031	tractable	a.易于驾驭的，温顺的
1032	facetious	a.滑稽的,爱开玩笑的
1033	sociable	爱交际的
1034	courteous	礼貌的，谦恭有礼的：polished manners
1035	gracious	a.大方的，和善的；奢华的
1036	gentility	n. 有教养，文雅
1037	affable	和蔼可亲的
1038	crooked	a.不诚实的；弯曲的；狡诈的
1039	sly	狡猾的：clever or cunning；隐秘的，偷偷的：acting in secret
1040	cunning	狡猾
1041	designing	adj. 狡猾的，蓄意的
1042	frugal	adj. 节约的，节俭的
1043	economize	v.节约，节省
1044	economical	a.经济的，节约的
1045	canny	a.精明仔细的
1046	stoically	淡泊地
1047	austerity	n.朴素,节俭,苦行,酸涩,严峻
1048	thrift	节俭，节约
1049	composed	a.镇定的，沉着的
1050	composure	n.镇静，沉着；自若
1051	prudent	a.审慎的，三思而后行的；判断力强的，精明的；
1052	vigilant	警醒的，警惕的：alertly watchful
1053	hardheaded	冷静的
1054	discreet	谨慎的
1055	discretion	n.谨慎，审慎
1056	circumspect	谨慎的，小心的：careful
1057	meticulously	ad 小心翼翼地，细致地
1058	sanity	n.明智；头脑清楚；精神健全；通情达理
1059	sluggish	行动迟缓的
1060	indolent	adj. 懒惰的；无痛的
1061	slog	艰难行进
1062	sloth	怠惰，懒惰：disinclination to action
1063	slothful	a.迟钝的，懒惰的
1064	stout	a 结实的；坚强的；坚牢的（[opp]flimsy）
1065	stocky	adj. (人或动物)矮而结实的，粗壮的
1066	robust	精力充沛的，强壮的，健康的：full of strength
1067	hardy	强壮的
1068	lusty	a.充满活力的，精力充沛的
1069	stiff	a.僵直的，不易变动的；严厉的
1070	prodigal	挥霍的：spendthrift；败家子：spends freely
1071	improvident	浪费的
1072	lavish	奢侈的，大量的，无节制的：extravagance and profusion；挥霍，浪费：give readily carelessly
1073	luxurious	a.豪华的,奢侈的,放纵的
1074	extravagant	a.奢侈的,挥霍无度的,浪费的
1075	squander	浪费
1076	flamboyant	艳丽夺目的，炫耀的，充满装饰的：strikingly elaborate
1077	deft	灵巧的，熟练的
1078	adept	adj. 熟练的，擅长的
1079	skillful	熟练的
1080	stunt	惊人的技艺
1081	facility	n.设备,容易,灵巧
1082	accomplished	adj. 精通的，熟练的
1083	aptitude	n.适宜；才能，资质
1084	vigor	n. [生物] 活力，精力
1085	temperament	气质，性情
1086	stamina	n. 毅力；精力；活力；持久力
1087	disposition	性情
1088	avid	急切渴望的：enthusiasm; 贪婪（钱财）的：eager, for material possessions
1089	ravenous	adj. 贪婪的；渴望的；狼吞虎咽的
1090	rapacious	adj. 贪婪的；贪得无厌的；自私的
1091	covetous	贪婪的
1092	avarice	n.贪财，贪婪
1093	avaricious	a.贪婪的，贪心的
1094	acquisitive	a.渴望得到的，贪婪的
1095	exacting	严格的，苛求的：rigorous；费时间心思的：requiring time, effort, attention
1096	ascetic	苦行的
1097	grim	a.(表情)冷酷的，严厉的，可怕的
1098	relentless	adj. 无情的；残酷的；不间断的
1099	ruthless	无情的，残忍的
1100	rigid	adj.刚硬的, 刚性的, 严格的
1101	stern	adj.严厉的, 苛刻的 n.船尾
1102	stringent	a.(规定)严格的，苛刻的；缺钱的
1103	scrupulous	a.小心谨慎的,细心的
1104	drastic	a.猛烈的，激烈的
1105	rigor	n.严酷；严格，苛刻；(尤指思想)严密，精确
1106	rigorous	a.严格的,严厉的,严酷的,严密的,严谨的
1107	ordeal	n.严峻考验，痛苦经验
1108	undaunted	无畏的，勇敢的
1109	dauntless	大胆的；不屈不挠的
1110	valiant	勇敢的，英勇的：bravery
1111	gallant	英勇的：brave, chivalrous；高贵的，慷慨的：dignified and generous
1112	intrepid	勇敢的
1113	valor	勇气
1114	flighty	a.轻浮的；反复无常的
1115	skimpy	吝啬的
1116	stingy	a.吝啬的，小气的
1117	snobbish	谄上傲下的，自大的：offensive air of superiority
1118	cabbage	卷心菜
1119	celery	n. 芹菜
1120	cereal	n.谷类；谷类食品
1121	grain	n.谷物；小的硬粒
1122	cucumber	n.黄瓜，胡瓜；变形复数： cucumbers
1123	leek	n.韭菜
1124	lettuce	n. 莴苣，生菜
1125	millet	粟，小米
1126	mustard	n.芥子，芥末
1127	oats	n.燕麦，燕麦片
1128	rye	黑麦
1129	sesame	n.芝麻
1130	soybean	n.大豆
1131	spinach	菠菜，胡说八道
1132	wheat	n. 小麦；小麦色
1133	edible	adj. 可食用的n. 食品；食物
1134	bland	味道平淡的，不刺激的：soothing; 无趣的：dull; 温和的，和蔼的：not harsh
1135	condiment	调味品
1136	chop	n. 砍；排骨；商标；削球vt. 剁碎；砍
1137	cuisine	n.烹饪
1138	dessert	甜点
1139	beverage	n.(水，酒等之外的)饮料
1140	nutriment	n. 营养品
1141	nibble	v.一点点地咬，慢慢啃
1142	imbibe	喝水，摄取水分：take in liquid
1143	barley	大麦
1144	beet	n.甜菜；甜菜根
1145	broccoli	n. 花椰菜；西兰花
1146	intrinsic	固有的，内在的：essential
1147	radical	a.根(基)本的；激进(派)的 n.激进分子
1148	rudimentary	a.（贬）初步的；未充分发展的，发育不成熟的
1149	inherent	a 内在的，固有的，生来的
1150	inherently	adv. 内在地；固有地；天性地
1151	internal	adj.内在的,国内的
1152	incisive	adj. 尖锐的，深刻的
1153	substantive	a.根本的，本质上的；独立存在的
1154	innate	a.生来的，天赋的
1155	inborn	天生的
1156	instinctive	adj. 天生的，本能的
1157	crude	a.天然的,粗糙的n.天然的物质
1158	spontaneous	adj. 自发的；自然的；无意识的
1159	interior	n. 内部；本质adj. 内部的；国内的；本质的
1160	attribute	属性，品质；把...归于
1161	abstruse	a.难懂的，深奥的
1162	comparative	比较的
1163	comparable	adj. 可比较的；比得上的
1164	subordinate	adj.次要的, 从属的, 下级的
1165	monotonous	（声音）单调的：unvarying tone；清一色的，无聊的：tediously unvarying
1166	invert	v.颠倒, 转化
1167	inverse	a.相反的；倒转的
1168	preferable	adj.更可取的,更好的,更优越的
1169	homogeneous	a.同类的，相似的
1170	identical	adj. 同一的；完全相同的
1171	peerless	无与伦比的
1172	equate	v.认为...相等或相仿
1173	equivalent	a.相等的，等值的
1174	intermediate	adj. 中间的；中级的
1175	neutral	adj. 中性的，中立的
1176	relatively	adv.相当地;比较而言
1177	shade	n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度； 少量、些微；细微的差别vt. 使阴暗；使渐变；为...遮阳；使阴郁；掩盖vi. （颜色、色彩等）渐变
1178	reproduction	n.生殖；复制; 复制品
1179	medium	n 媒介；（常作[pl]）宣传工具；传播媒介；手段，方法
1180	counterpart	n.相对应或具有相同功能的人或物
1181	midst	n.中部，中间，当中
1182	contrast	n.对比;差异;对照,相反v.使对比,使对照
1183	imitate	v 仿效，模仿
1184	resemble	vt.相似,类似,像
1185	affinity	n.密切关系；吸引力
1186	extraneous	无关的：no relevance；非主要因素的：not essential
1187	irrelevant	a.不恰当的,无关系的,不相干的
1188	exclude	vt.把...排除在外
1189	exclusive	a 独有的，唯一的；专有的
1190	exclusion	n. 除外，拒绝
1191	external	外部的，外面的
1192	impertinent	无关紧要的：not having relevance；粗鲁无礼的，大胆的：insolent rudeness；不守礼节的，不为他人着想的：lack of manners
1193	scope	n.视野，眼界；(处理、研究食物的)范围
1194	span	n. 跨度，跨距；范围vt. 跨越；持续；以手指测量
1195	content	内容
1196	deviate	v.越轨，脱离
1197	digress	脱离主题：turn aside main subject
1198	comprise	vt. 包含；由...组成
1199	bias	n.偏见 v.使有偏见
1200	deflect	v.偏离，转向
1201	embody	v.(作品等)表达，体现
1202	accommodate	容纳；为……提供住宿
1203	preclude	排除，妨碍，阻止
1204	forthright	直率的，说话率真的；直接的，不绕弯子的;马上
1205	shortcut	n.近路，捷径
1206	via	prep. 经由, 通过
1207	faint	adj. 混晕的，模糊的，微弱的
1208	gloom	n. 昏暗；阴暗
1209	gloomy	黯淡无光的：without light；忧郁的：low spirits
1210	luminous	adj. 发光的, 明亮的
1211	dingy	a.肮脏的；褪色的
1212	dim	v.使暗淡，使模糊
1213	obscure	含义模糊的：平凡的，不知名的 使模糊：
1214	vague	adj. 模糊的；含糊的；不明确的；暧昧的
1215	dusky	adj. 微暗的，肤色黑的
1216	dazzling	耀眼的
1217	dismal	adj. 沮丧的，阴暗的
1218	glossy	平滑的，有光泽的
1219	luster	光彩，光泽
1220	glaze	给...上釉，妆点：coat glaze；使平滑：glossy surface
1221	flare	闪耀
1222	burnish	v.擦亮，磨光
1223	gleam	n./v. 微光，闪光
1224	ablaze	闪耀的
1225	twinkle	vi.闪烁，闪耀
1226	tentative	a.试探性的，尝试性的
1227	theoretical	a.不切实际的；理论(上)的
1228	specimen	n. 样品，样本；标本
1229	symbolic	adj.象征的,符号的
1230	precision	n.精确(性)，精密(度)
1231	threshold	n.门槛;入门,开端doorsill
1232	expertise	n.专门技术，专业知识
1233	contrive	v.发明, 设计, 图谋
1234	devise	v.发明，设计；图谋；遗赠给
1235	gauge	测量标准：measurement standard；判定：determine
1236	hence	ad 从此，因此，所以，本来
1237	framework	n.框架，构架，结构
1238	hypothesis	n.假设，假说
1239	presumption	假定
1240	generalize	v.概括，归纳
1241	incur	v.招致，引起
1242	premise	vt. 引出，预先提出；作为...的前提n. 前提；上述各项；房屋连地基vi. 作出前提
1243	infer	v.推断，推定
1244	demonstrate	v.证明，论证；示威
1245	cursory	a.粗略的，草率的
1246	perennial	a.全年的；永久的
1247	chronic	a.慢性的，长期的
1248	everlasting	永恒的，持久的：forever
1249	hasty	adj.轻率的；匆忙的；草率的；懈怠的
1250	transitory	短暂的
1251	transient	短暂的，瞬时的：transitory
1252	obsolete	a.废弃的；过时的
1253	extemporaneous	a.无准备的,即席的,临时的
1254	pressing	紧迫的
1255	offhand	adj.即兴的，没有准备的
1256	temporal	a.时间的；世俗的暂时的
1257	temporary	a.暂时的,临时的
1258	contemporary	adj. 当代的，现代
1259	impromptu	a.即席的，即兴的
1260	punctual	adj.严守时刻的, 准时的
1261	instantaneous	a.立即的，瞬间发生的
1262	subsequent	随后的，后来的
1263	concurrent	a.并发的；协作的，一致的
1264	extant	尚存的，现存的
1265	nocturnal	a.夜晚的，夜间发生的
1266	eternal	a.永久的，永恒的，不朽的
1267	permanent	a. 永久的,持久的
1268	abiding	永久的：enduring
1269	dated	陈旧的，过时的
1270	beforehand	ad.预先；提前地
1271	simultaneous	同时的
1272	duration	n.持续的时间
1273	epoch	n. 新纪元；时代
1274	interlude	n.(活动间的)暂时休息
1275	schedule	n.时间表,进度表 v.安排,预定
1276	juncture	n.关键时刻，危急关头；接合点
1277	session	n 一次，一段时间；会议；会议的一次（一届）
1278	elapse	v.消逝，过去 n. 消逝
1279	concur	同意：agreement；同一时间发生、存在：same time；团结合作：joint
1280	improvise	即兴创作
1281	synchronize	vt. 同步，同时发生
1282	itinerant	巡回的，流动的
1283	influx	n. 流入；汇集；河流的汇集处
1284	spray	n.喷雾, 飞沫 vt.喷射, 喷溅
1285	fluctuate	v.波动；变化
1286	splash	v. 溅，泼
1287	spurt	v. 喷出，涌出
1288	spout	v.喷出；滔滔不绝地讲
1289	meander	v 曲曲折折地流；蜿蜒，弯曲
1290	gush	（使）大量涌出：great volume；（使）情感强烈外溢：exaggerated display
1291	overflow	vt.从...中溢出
1292	infuse	灌输，使...充满：fill；鼓舞：inspire
1293	submerge	v 使浸在水中，潜水；沉没，淹没；消失
1294	imbue	v.浸染，浸透；使充满；灌输，激发
1295	exude	分泌，流出：flow forth
1296	permeate	v.扩散；渗透
1297	dampen	v.(使)潮湿；使沮丧，泼凉水
1298	moisten	v.弄湿，使湿润
1299	craft	手工艺，船
1300	vessel	n.血管；容器；船只
1301	girdle	n.带，腰带，带状物
1302	canvas	n.画布；帆布
1303	souvenir	纪念品
1304	entity	n.实体，统一体
1305	spur	n. 鼓舞，刺激；马刺；山坡vi. 骑马疾驰；给予刺激vt. 激励，鞭策；给...装踢马刺
1306	leash	n. 牵狗的皮带，束缚
1307	strip	v.剥去(衣物，覆盖物，零件)；剥夺(名誉，地位)；n.狭长的一片
1308	hinge	n.合页,铰链 vi.依...而定
1309	varnish	上清漆，使有光泽：smooth glossy；粉饰（令人不悦的东西）：conceal unpleasant
1310	tug	v.用力拖(或拉)；苦干 n.拖；苦干；拖船
1311	null	无效的
1312	efficient	a.有效率的,能干的
1313	outcome	n. 结果，结局；成果
1314	impotence	n. 无效，无力，虚弱
1315	gratuitous	无根据的，无理由的；无报酬的，免费的；多余的
1316	source	n.源,源泉;来源,出处
1317	account	a.叙述，说明；账目，账户 vi.说明，解释(on account原因
1318	impute	v.归咎于；归于
1319	superficial	表面的，肤浅的
1320	partial	部分的
1321	overall	adj. 全部的，全面的
1322	integral	a.构成整体所必需的；完整的
1323	integrate	v 使成整体，使并入，使一体化，使结合起来
1324	integrity	n. 完整性；正直；诚实；廉正
1325	seemingly	adv. 看来似乎；表面上看来
1326	portion	n 一部分，一份
1327	proportion	n 比，比率；[数]比例
1328	segment	n 部分，节，段 v 分割，分裂
1329	component	组成部分
1330	deceit	n.欺骗，欺诈
1331	deceitful	adj.撒谎的，骗人的
1332	deceive	v.欺骗,蒙蔽
1333	deceptive	adj. 虚伪的，骗人的
1334	gangster	n.匪徒，歹徒，暴徒
1335	fraud	n.欺诈，欺骗；骗子
1336	fraudulent	adj. 欺骗的，不诚实的
1337	homicide	杀人，行凶
1338	theft	n. 偷窃
1339	pilferage	n. 1 小窃行为,小盗窃2 (U)失窃之损失; 失窃品
1340	counterfeit	v.伪造，仿造
1341	conspire	v.阴谋，共谋
1342	conspiracy	阴谋
1343	brew	v.酿酒；沏，煮咖啡；酝酿，即将发生
1344	beguile	欺骗; 使着迷；愉快的度过
1345	forge	n. 熔炉，锻铁炉；铁工厂vi. 伪造；做锻工；前进vt. 伪造；锻造；前进
1346	assassinate	vt.暗杀，行刺；中伤
1347	embezzle	盗用
1348	extort	勒索
1349	blackmail	v./n. 敲诈，勒索
1350	delude	v.欺骗，哄骗
1351	defraud	v.欺骗某人
1352	fabricate	v.捏造；制造
1353	purge	v.清洗，清除(政敌)；净化心灵，洗涤罪恶
1354	belie	v.掩饰；证明为假
1355	accomplice	n.同谋者，帮凶
1356	abduct	v．绑架，拐走
1357	auspicious	a.幸运的；吉兆的
1358	readily	adv. 容易地；乐意地；无困难地
1359	boon	n.恩惠，天赐福利
1360	thrive	vi. 繁荣，兴旺；茁壮成长
1361	furrow	犁沟，车辙
1362	implement	n.工具，器具；v.实现，实施
1363	shaft	n.(工具的)柄，杆状物
1364	snap	vt. 突然折断，拉断；猛咬；啪地关上vi. 咬；厉声说；咯嗒一声关上n. 猛咬；劈啪声；突然折断adj. 突然的
1365	prune	n.梅干；v.修剪
1366	extract	用力拔出：take out
1367	flay	v.剥皮；强夺，掠夺；严厉指责
1368	flush	n./v.脸红；奔流；冲洗
1369	clinch	v.钉牢；彻底解决
1370	gild	镀金
1371	clip	n.夹子，别针；v.修剪
1372	scratch	v.抓,搔,扒 n.抓,搔,抓痕;起跑线
1373	clamp	n.夹子 vt.夹住，夹紧
1374	hew	v.砍伐；遵守
1375	rap	敲击，监禁，责备或训斥
1376	cleanse	vt.使清洁,净化,使纯洁
1377	rend	撕裂，猛拉：tear or split apart
1378	cram	v.填塞，塞满；临时抱佛脚，为考试而学习
1379	smear	n.污迹，污点；v.弄脏，玷污；诽谤
1380	efface	v.擦掉，抹去
1381	tow	v 拖着走，拉着走
1382	incise	v.切，切割
1383	harrow	n.耙；v.使痛苦
1384	shovel	n 铲，铁锨 v 拿铲子铲
1385	sickle	n.镰刀;收割机
1386	spade	n.铁锹,铲子
1387	bore	v.钻孔；使厌烦；n.孔；令人厌烦的人
1388	hectic	a.兴奋的，繁忙的，忙乱的
1389	log	n./v.日志，记录；n.一段大木头；圆木
1390	vocation	n.擅长；工作，职业
1391	audition	n. 试听，试唱，试演
1392	draft	n.草稿，草案；汇票
1393	sketch	n.草图，概略 v.画草图，写概略
1394	assumption	n.假定, 设想, 担任, 就职，承当, 假装, 作态
1395	drudgery	苦工；单调、卑贱或无趣的工作：tedious work
1396	solicit	v.恳求；教唆(犯罪)，(妓女)拉客
1397	register	登记，注册
1398	inaugurate	开始
1399	promote	v.提升；促进
1400	officeholding	任职
1401	provision	供应
1402	accommodate	v.与...一致；提供食宿
1403	furnish	v.供应,提供;装备,布置
1404	render	v.呈递，表现；提供...作为报偿或交换
1405	incompatible	a.不相容的,不能并存的,矛盾的
1406	congruity	n. 一致，协调
1407	incongruous	a 不调和的，不相称的
1408	respective	adj. 分别的，各自的
1409	mutual	adj.相互的，共有的
1410	concerted	adj. 商议好的，协定的
1411	fraternal	adj. 兄弟的，兄弟般的，友爱的
1412	congenial	a.意气相投的；性情好的
1413	complement	n.补足物,补语,余角vt.补助,补足
1414	complementary	互补的
1415	discord	意见不一致，不和谐：lack agreement, harmony
1416	intimate	a.亲密的；n.密友；v.暗示
1417	intimacy	n. 亲密，熟悉
1418	substitute	n.代替品；v.代替
1419	consensus	一致
1420	concurrence	n. 一致
1421	proximity	n. 接近，[数]邻近；接近；接近度，距离；亲近
1422	collaborate	v.合作，协作；通敌
1423	replenish	补充
1424	supplant	排挤，篡夺...的位置：usurp the place of
1425	implicate	v.牵连(于罪行中)；暗示
1426	supersede	v.淘汰，取代
1427	correlate	vt. 使相互关联；使相互影响
1428	grant	n.授给物 vt.授予
1429	derivative	a.派生的；无创意的
1430	refuge	n.避难处,藏身处
1431	depot	n. 货站，仓库
1432	auditorium	n.礼堂；观众席
1433	vault	n.拱顶；地窖
1434	stall	n.货摊，书摊；厩
1435	dormitory	n.集体寝室,宿舍
1436	dwelling	n.住宅,寓所
1437	canopy	n. 天篷；华盖；遮篷；苍穹vt. 用天蓬遮盖；遮盖
1438	laborious	adj.费力的,吃力的
1439	precipitous	a.陡峭的,急躁的
1440	devious	a.不正直的；弯曲的
1441	arduous	a.费力的,辛勤的,险峻的
1442	strenuous	费力的
1443	plight	n.境况,誓约,困境vt.宣誓,保证,约定
1444	painstaking	煞费苦心的
1445	flounder	v.挣扎；艰苦地移动；n.比目鱼
1446	prevail	v 胜，压倒，占优势；普遍；传开，盛行
1447	prevalent	流行的
1448	vogue	n. 时尚；流行，时髦adj. 时髦的，流行的
1449	novelty	n. 新奇；新奇的事物；新颖小巧而廉价的物品
1450	immortal	不朽的
1451	notorious	臭名昭著的，声名狼藉的
1452	infamous	臭名昭著的
1453	legendary	a.闻名的；传说的
1454	glorious	a.光荣的；壮丽的
1455	illustrious	著名的，杰出的
1456	eminent	杰出的
1457	deferential	恭敬的
1458	exemplary	adj. 模范的，典范的
1459	matchless	adj. 无敌的；无比的
1460	excel	vt.胜过 vi.杰出
1461	renowned	著名的
1462	laudable	值得赞美的
1463	supreme	a 最高的，无上的，最优秀的，最重要的
1464	celebrated	a.有名的，知名的
1465	notable	a.明显的，出众的，重要的
1466	preeminent	卓越的
1467	prominent	adj. 突出的，显著的；杰出的；卓越的
1468	dignified	adj. 尊严的，高贵的
1469	lofty	崇高的
1470	odor	名声;气味
1471	feat	n.功绩，壮举
1472	homage	尊敬，敬意
1473	deference	n.敬意，尊重
1474	virtue	美德
1475	prestige	n. 威望，声望；声誉
1476	grandeur	庄严，伟大
1477	reverence	尊敬
1478	awe	敬畏
1479	esteem	尊重
1480	commend	赞美
1481	exalt	提升，提拔：raise；赞扬：praise
1482	exalted	adj. 尊贵的，兴奋的
1483	venerate	v.崇敬，敬仰
1484	embalm	使不朽
1485	tarnish	玷污 使晦暗；
1486	extol	赞美，颂扬
1487	laud	赞美
1488	revere	尊敬
1489	disreputable	声名狼藉的
1490	hilarious	a.充满欢乐的；引起大笑的
1491	sullen	闷闷不乐的
1492	hilarity	n.欢闹，狂欢
1493	aura	n. 气味，气氛
1494	etiquette	礼节
1495	decorum	n.礼节，礼貌
1496	banquet	n.宴会，盛宴
1497	ceremonial	adj. 仪式，正式的
1498	ceremony	仪式
1499	unveil	v. 公之于众，揭露
1500	grip	v. 紧握，紧抓
1501	posture	姿势
1502	jerk	v./n. 猛拉
1503	chuckle	轻声笑
1504	stagger	蹒跚
1505	trudge	v.跋涉，吃力地走
1506	hurl	v.猛投；大声叫骂
1507	erect	adj.直立的,竖立的,笔直的;vt.盖,使竖立,使直立,树立,建立;vi.[生理]勃起
1508	trample	践踏
1509	slump	v．猛然落下，暴跌
