index	term	definition
189	proscribe	v. 禁止
190	abstinence	n.节制,禁欲,戒酒
191	abstain	v.禁绝，放弃
192	veto	否决
193	revise	修改
194	verify	验证
195	stipulate	v 约定；规定；保证
196	testify	v 证明；证实
197	testimony	n.证词，证明
198	substantiate	证实
199	affirm	断言
200	assure	v.向某人保证，确信
201	observance	n.遵守
202	abide	vt.遵守 vt.忍受
203	accusation	n. 谴责；控告
204	impeach	v.怀疑，提出异议；弹劾
205	indictment	n.起诉,控告,起诉状
206	incriminate	归罪于：accuse of a crime
207	prosecute	v.(法)告发，检举
208	denounce	谴责，公开抨击
209	lawsuit	诉讼
210	query	v.质疑，疑问；n.问题，疑问
211	interrogate	v.审问，审讯
212	impunity	免罚
213	exempt	被豁免的
214	condone	宽恕；忽视：forgive
215	liberate	v.释放，解放
216	remit	赦免
217	absolve	v.赦免，免除
218	acquit	v.宣告无罪；脱卸义务和责任；还清(债务)
219	abolish	vt. 废除，取消
220	term	v.把...称为n.学期 条款
221	clause	条款，从句，分句
222	constitution	宪法
223	decree	法令
224	legislate	vi.立法（make law）
225	legislation	n.立法
226	legalize	v. 合法化，法律认可
227	prescribe	v.(医)开处方；规定
228	credential	凭证
229	enact	制定法律,扮演
230	hackneyed	陈腐的
231	caustic	腐蚀性的
232	decay	v./n.腐烂；衰退；腐朽
233	stale	陈腐的
234	erosion	腐蚀
235	Decomposition	n.分解，腐烂，崩溃
236	silica	n 硅石，硅土
237	gasoline	汽油
238	Methane	n 甲烷，沼气
239	hydrocarbon	碳氢化合物
240	petroleum	石油
241	intermediary	n. 媒介物，居间者
242	catalysis	催化作用
243	catalyst	催化剂
244	adhesive	a.黏着的，带黏性的；n.黏合剂
245	bleach	vt.漂白 vi.变白
246	tint	涂浅色，微染：slight coloration to
247	hydronic	液体循环加热或冷却的
248	alchemy	炼金术，魔力
249	ion	离子
250	molecule	分子
251	solubility	溶解度；溶解性
252	solvent	(n.) 溶剂(adj.) 有偿付能力的
253	dissolve	v.溶解,解散
254	element	元素
255	impurity	杂质
256	blend	混合
257	Compound	n.混合物,化合物 a.混合的,化合的；vt.混合
258	substance	n.物质,实质
259	particle	n 颗粒，微粒
260	explosive	adj. 爆炸的；爆炸性的；爆发性的n. 炸药；爆炸物
261	blast	爆炸
262	kindle	点燃
263	sear	烧灼
264	neutralize	中和
265	polymerization	聚合
266	synthetic	合成的
267	copper	铜
268	mercury	n.汞；水银；（M-）水星
269	nickel	n. 镍；镍币
270	platinum	白金，铂
271	sodium	钠
272	zinc	锌
273	tin	锡，马口铁
274	calcium	钙
275	helium	氦
276	silicon	n.[化]硅,硅元素
277	Ammonia	氨水；氨
278	sulfur	硫磺；硫黄
279	iodine	碘
280	nitrogen	氮
281	noxious	有害的，有毒的
282	pollutant	污染物
283	contaminate	污染
284	sewage	污水；废水
285	fume	冒烟，冒气，熏，烟，气
286	fauna	动物群
287	decibel	分贝
288	ozonosphere	臭氧层
289	didactic	a.教诲的；说教的
290	sermon	说教
291	initiate	v.发起，创始；接纳或介绍某人加入某团体等;启蒙
292	instill	灌输
293	edify	v.陶冶，启发
294	conduct	引导
295	curriculum	课程
296	discipline	v.训练，训导；n.纪律；惩罚，处分；学科
297	toll	费
298	prosperous	繁荣的
299	prosperity	繁荣
300	asset	资产
301	opulence	n. 财富，富裕
302	indigent	贫穷的
303	penury	贫穷
304	Depression	萧条，沮丧
305	bidding	投标；邀请
306	exponent	指数;解释者，支持者
307	redress	补偿
308	compensation	补偿
309	deficit	n. 赤字
310	levy	征税
311	ration	定额供应量，配给量：amount allotted；按比例分配：share or portion
312	rebate	n.折扣，回扣
313	merchandise	n. 商品
314	commerce	商业
315	enterprise	企业
316	currency	n. 通货，货币
317	inventory	n. 存货，存货清单；详细目录；财产清册
318	quota	配额，限额：proportional
319	tariff	关税
320	inflation	通货膨胀
321	yen	日元
322	consume	消费
323	disburse	v. 支付，支出，分配
324	inertia	不活动，惰性
325	audit	审计
326	surplus	n. 剩余；[贸易] 顺差；盈余；过剩adj. 剩余的；过剩的
327	residue	n 残余，残渣
328	Bankruptcy	破产
329	collateral	抵押品
330	depreciate	贬值
331	merge	合并
332	reimburse	偿还
333	garner	储存
334	underestimate	低估
335	consolidate	v.巩固；(使)坚强；合并
336	refund	n.退款 vt.退还(钱款)
337	utility	效用
338	contract	n.合同 v.感染
339	transaction	n. 交易
340	patronage	赞助
341	barter	物物交换
342	deposit	自然积累，沉积，矿藏：accumulation；存钱：put in account
343	commission	佣金，委托; 委员会
344	ransom	n.赎金；赎身；v.赎回
345	bond	n.联结，粘结，公债
346	custom	进口税;n. 习惯，传统，惯例
347	bonus	n. 奖金；红利；额外津贴
348	revenue	收入
349	confidential	机密的
350	clandestine	秘密的
351	cipher	密码
352	dissimulate	v. 假装，掩饰
353	scout	侦查员，童子军
354	fortress	堡垒
355	hatchet	短柄斧
356	dagger	n.短剑，匕首
357	armor	n. [军] 装甲；盔甲vt. 为...装甲
358	corps	n. 军团，兵团
359	corpse	尸体
360	armament	n. 兵力，军力
361	enlist	征募
362	recruit	v 招募（新兵），召集
363	array	排列, 阵列: arrangement排列, 摆放: arrange or display装饰, 装修: dress or decorate
364	squad	小队
365	raid	袭击
366	encroach	v.侵占，蚕食
367	despoil	夺取，掠夺，蹂躏
368	exterminate	v.消灭，灭绝
369	extinguish	熄灭
370	onset	攻击，进攻：attack, assault；起始，开始：begins
371	repulse	击退
372	expedition	远征
373	siege	n.包围，围攻
374	beset	v.镶嵌；困扰;包围
375	besiege	包围
376	morale	士气，斗志
377	mandate	n.命令，指令
378	tactics	n 战术；策略
379	naval	海军的
380	military	军事的，军用的：soldiers, arms, or war
381	archeology	考古学
382	invaluable	无价的
383	unearth	v.挖出；发现
384	exhume	v.掘出
385	excavate	v.挖掘；挖出
386	Neolithic	新石器时代的
387	mesolithic	中石器时代的
388	Paleolithic	旧石器时代的
389	chronological	adj. 按年代顺序排列的
390	archaic	古老的
391	ascend	v．上升，攀登;追溯
392	primitive	a 原始的，上古的；早期的
393	remnant	n 剩余，残屑
394	porcelain	瓷器
395	antiquity	n.古；古人；古迹
396	artifact	人工制品
397	prolific	多产的
398	aquaculture	水产业
399	arable	适于耕种的
400	indigenous	a.土产的，本地的
401	husbandry	n. 耕种，管理
402	graze	吃草
403	cultivate	vt.培养,耕作
404	cultivation	n. 耕种，培养
405	manure	vt. 施肥于；耕种n. 肥料；粪肥
406	horticulture	园艺，园艺学
407	hydroponics	水耕法，水栽培
408	insecticide	杀虫剂
409	irrigate	灌溉
410	ridge	n 脊；脊背；山脊；分水岭
411	silt	n.淤泥，淤沙
412	tractor	拖拉机
413	squash	南瓜
414	eggplant	茄子
415	fodder	饲料，草料
416	haystack	干草堆
417	sorghum	高粱
418	livestock	n. 牲畜；家畜
419	poultry	n.家禽
420	buffalo	n.水牛
421	cattle	n.牛;牲口,家畜
422	sow	vt. 播种；散布；使密布vi. 播种n. 母猪
423	conservatory	温室；音乐学校
424	cowshed	牛棚
425	granary	谷仓
426	sheepfold	羊圈
427	orchard	果园
428	pasture	n. 牧场；草地v. 放牧
429	pigpen	n.猪舍，猪舍似的地方
430	pigsty	猪舍，脏房子
431	plantation	n.农园,大农场
432	ranch	n 大牧场，大农场 v 经营牧场
433	trough	饲料槽
434	balmy	温和的
435	humid	潮湿的
436	humidity	湿度
437	damp	n 湿气，潮湿 a 有湿气的，潮湿的 v 弄湿，打湿
438	dank	阴湿的
439	moisture	n. 潮湿，湿气；湿度
440	saturate	v.浸透；使充满
441	arid	干旱的
442	frigid	严寒的
443	serene	a.清澈的，晴朗的；安静的，平静的
444	tepid	微温的
445	gale	大风
446	hurricane	飓风
447	barometer	气压计
448	whirlwind	旋风
449	meteorology	n.气象学,气象状态
450	troposphere	对流层
451	current	气流;n.电流,水流;潮流,趋势 a.当前的;流通的
452	funnel	漏斗，漏斗云
453	smog	烟雾
454	precipitate	v 促成，促使，使沉淀；使（水蒸气）凝结；向下投掷
455	drizzle	v.下毛毛雨；n.毛毛雨
456	blizzard	n.暴风雪，大风雪
457	downpour	倾盆大雨
458	droplet	小滴
459	vapor	n 汽，蒸汽
460	tempest	暴风雨
461	hail	冰雹
462	condense	vt.使浓缩,摘要,缩短vi.浓缩,凝结
463	juvenile	adj. 青少年的；幼稚的n. 青少年；少年读物
464	anthropology	人类学
465	tribe	n 部落，部族；家族
466	ethnic	种族的
467	ethnology	n.人种学，人类文化学
468	minority	n.少数, 少数民族
469	descent	血统
470	hybrid	杂交品种，混合品种：mixed origin；杂交的：parents of different races
471	intelligence	智力
472	aboriginal	土著的
473	forerunner	n. 先驱，祖先
474	hominid	原始人类
475	cranial	adj. 头盖的, 头盖形的
476	counsel	n. 法律顾问；忠告；商议；讨论；决策vt. 建议；劝告vi. 商讨；提出忠告
477	aviator	飞行员
478	playwright	剧作家
479	clergy	神职人员
480	auditor	审计员，旁听者
481	athlete	运动员
482	satirist	讽刺作家
483	sculptor	雕刻家
484	mathematician	数学家
485	astronaut	宇航员
486	astronomer	天文学家
487	botanist	植物学家
488	choreographer	舞蹈编排家
489	geographer	地理学家
490	geologist	地质学家
491	educator	教育家
492	Treasurer	n.司库，财务主管
493	Archeology	考古学
494	paleoanthropologist	古人类学家
495	meteorologist	气象学家
496	anthropologist	人类学家
497	mechanic	n.技工,机修工
498	imagist	意象派诗人
499	biographer	传记作者
500	censor	v.审查，检查(书报)
501	physician	n 医生，内科医生
502	hermit	隐居者
503	recluse	隐士
504	ecologist	n.生态学家，生态学者
505	philanthropist	慈善家
506	attorney	n. 代理人，辩护律师
507	congressman	国会议员
508	connoisseur	n.鉴赏家，行家
509	entrepreneur	企业家
510	commander	司令官，指挥员
511	commentator	n. 注释着，解说员
512	attendant	n.陪从；出席人；服务员 a.出席的；伴随的
513	orator	n. 演讲者
514	idiocy	白痴
515	moron	低能儿，白痴
516	illiterate	文盲的
517	proxy	代理人
518	deputy	n.代表；副警长
519	proprietor	n.所有者,经营者
520	debtor	债务人
521	arbitrator	仲裁者
522	superintendent	n 管理人，监督人，指挥人；（某一部门的）主管，负责人
523	apprentice	学徒
524	tenant	n.房客，租户
525	miser	n.守财奴，吝啬鬼
526	personnel	n. 人员，职员
527	recipient	接受者
528	mortal	凡人
529	benefactor	n.行善者，捐助者
530	inhabitant	居民
531	bachelor	单身汉
532	novice	新信徒；生手
533	cult	n.宗派；崇拜
534	fanatic	狂热者：unreasoning enthusiasm；狂热的；盲信的：intense uncritical devotion
535	adherent	n.拥护者，信徒
536	disciple	门徒
537	champion	冠军
538	assassin	n. 刺客
539	bandit	强盗
540	burglar	夜盗，窃贼
541	barbarian	n.粗鲁无礼的人, 野蛮人；adj.野蛮的, 粗鲁的
542	exile	n. 流放，充军；放逐，被放逐者；流犯vt. 放逐，流放；使背井离乡
543	rebel	v.反抗,反叛,起义 n.叛逆者,起义者
544	egoist	n. 自我主义者
545	eyewitness	目击者
546	spectator	观众，目击者，旁观者：watches
547	spouse	n. 配偶vt. 和...结婚
548	beneficiary	n.受惠者,受益人a.受封的
549	inferior	下级；晚辈
550	zealot	热心者
551	precursor	先驱
552	avant-garde	a&n 先锋（的），先驱（的）
553	alumni	男毕业生，男校友
554	skeptic	怀疑论者
555	malcontent	不满分子：opposition；不满的：dissatisfied
556	opponent	n.对手，敌手
557	celebrity	n. 名人
558	figurehead	名誉领袖
559	veteran	老兵；有丰富经验的人：knowledge through long experience；经验丰富的，资深的：knowledge, experience
560	advocate	n 拥护者，鼓吹者，提倡者 v 拥护；鼓吹；提倡；主张；辩护
561	feminist	男女平等主义者
562	humanitarian	人道主义者
563	throng	n.一大群；群众v.拥挤
564	civilian	n 市民，平民
565	monarch	n.君主，帝王
566	conservative	守旧的，不愿改变的：oppose change；不招摇的，低调的：not showy；谨慎小心的：close attentiveness
567	envoy	使者
568	aristocrat	贵族
569	gentry	贵族
570	autocrat	n. 独裁者，专制君主；独断独行的人
571	delegate	n.代表；v.委派...为代表，授权
572	democrat	民主党人
573	candidate	n.候选人；参加考试的人
574	urban	城市的
575	rustic	乡村的;粗俗的
576	metropolitan	adj. 主要都市的，大城市的
577	exotic	a.珍奇的；来自异国的
578	conventional	a.因循守旧的，传统的
579	convention	n. 大会；[法] 惯例；[计] 约定；[法] 协定；习俗
580	patriarchal	家长的，族长的
581	institutionalize	使制度化或习俗化
582	clan	（有共同爱好的）团体，帮派：united by a common interest
583	status	n. 地位；状态；情形；重要身份
584	taboo	禁忌，忌讳，禁止
