sustenance	食物，生计
swallow	吞下，咽下
swamp	沼泽，湿地
swampy	沼泽的，湿地的
swarm	蜂群，一大群
sway	摇摆，摇动
sweep	席卷，扫过
sweeping	彻底的，广泛的
swell	（使）肿胀、膨胀
swelling	肿胀
swift	迅速的，敏捷的
swiftness	迅速，敏捷
syllable	（语音）音节
symbiosis	共生（关系），共栖
symbiotic	共栖的，共生的
symbol	符号，记号；象征
symbolism	象征主义；符号论
symbology	象征学
symbolize	象征
symmetrical	对称的
symmetry	对称（性），匀称
asymmetrical	不均匀的, 不对称的
sympathy	同情，同情心
sympathize	同情，体谅
sympathetic	有同情心的
symphony	交响乐，交响曲
symptom	症状；征兆
synchronize	同步，同时发生
synonym	同义字
synonymous	同义的
synthesize	综合；合成
synthesizer	[电子]合成器
synthesis	综合, 合成
photosynthesis	光合作用
synthetic	合成的，人造的
syrup	n. 糖浆；糖液
system	系统，体系
systematic	系统的，体系的
systematize	使系统化；将...分类
ecosystem	生态系统
tableland	高原
tactics	战术；策略
tactile	触觉的；可触觉的
tag	给...加标签；添加，附加
taint	污点，瑕疵
take into account	考虑到
talent	才能；天才
talented	有天才的，有才能的
tally	符合，吻合
tame	驯养，驯服
untamed	未驯服的
tap	开发，利用
untapped	未使用的
tapering	尖端细的
tapeworm	[动]绦虫
tapestry	织锦, 挂毯
tardy	迟到的；缓慢的
tardiness	迟到；缓慢
tariff	关税
customs	进口税；海关
tarnish	晦暗，污点
taste	品尝，辨味
tasty	美味的，可口的
tasteless	没味道的
distasteful	（令人）不愉快的，讨厌的
tavern	小酒店；客栈
tectonics	[地]构造地质学
tedium	单调乏味
tedious	单调乏味的，沉闷的
teem with	充满
telegraph	电报机；电报
telescope	望远镜
temper	脾气，性情
temperate	（气候等）温和的
temperance	节制，自制；戒酒；禁酒
temperature	温度
temple	寺庙，教堂
temporary	短暂的，暂时的
temporarily	临时
contemporary	当代的，同时代的
tempt	诱使
tempting	诱惑人的
tenant	承租人，房客
tendency	趋势，倾向
tender	嫩的，柔软的
tenderness	亲切，温柔
contender	竞争者，斗争者
tenement	出租给房客的住房；(穷人)公寓
tense	紧张的，拉紧的
tension	紧张（状态），压力
intense	强烈的，剧烈的
utensil	器具
tensile	可拉长的, 可伸长的
pretense	矫饰，做作
pretension	主张，要求
tentacle	触角，触须，触手
terminal	总站，终点站
terminate	停止，结束
termination	终止，结束
exterminate	根除，灭绝
terminology	用辞，术语
terminus	（火车、汽车）终点站
termite	白蚁
terrace	梯田，台地；阳台
terrain	地势，地形
terrestrial	地球（上）的；陆地的
terrify	使恐怖，使惊吓
terrifying	恐怖的
terribly	可怕地，十分
terrific	极好的
testify to	证实
textile	纺织品
texture	质地；（材料等）结构
textured	手摸时有感觉的, 有织纹的
thaw	解冻
theft	偷窃
theme	(谈话, 写作等的)题目, 主题
theoretical	理论上的
thereby	因此，从而
therefore	因此，所以
thermal	热的, 热量的
thesis	论题，论文
hypothesis	假设
thigh	大腿
thorny	有刺的；多刺的
thorn	[植]刺, 棘
thorough	完全的，彻底的
thoughtful	体贴的，考虑周到的
thread	线
threadlike	线状的
threaten	威胁；预示...的凶兆，可能来临
threateningly	胁迫地
three-dimensional	三维的, 立体的
threshold	n. 门槛；界限；起点；临界点
thrifty	节省的，节俭的
thrive	繁荣，兴旺；茁壮成长
thrive on	在...中旺盛生长
thrust	推力，冲
thunderstorm	暴风雨
tide	潮汐；潮流
tilt	倾斜
stilt	高跷，支柱
timber	木材，木料
time-consuming	费时间的
timid	胆怯的，羞怯的
timidity	胆怯
tint	给...着色；染
tip	顶，尖端
fingertip	指尖
tissue	[生]组织
to and fro	来来回回
toe	趾，脚趾，足尖
toed	有趾的
tolerate	忍受；容许
tolerant	容忍的；宽容的
tolerance	忍受，宽容
topography	地形；地形学
topographical	地形学的
topsoil	表层土
tornado	旋风，龙卷风
hurricane	飓风
cyclone	n. 气旋；旋风
torpor	迟钝，不活泼
torque	扭矩
torrent	连发，迸发
torrential	（雨）倾盆的、如注的；（水流）猛烈的、汹涌的
torrential rain	豪雨，大雨
tortuous	曲折的, 转弯抹角的
touching	动人的，令人感伤的
touched	被感动的
touchdown	着地，降落
tough	坚硬的；坚强的
tournament	比赛，锦标赛
tow	拖引，牵引
